COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Modoc,2015–2016,Age groups,65+ years,22.200,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2015–2016,Age groups,65+ years,19.700,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2015–2016,Age groups,65+ years,,,,Prevalence not available due to small numbers of survey responses
Napa,2015–2016,Age groups,65+ years,,,,Prevalence not available due to small numbers of survey responses
Nevada,2015–2016,Age groups,65+ years,14.400,(3.4–25.4),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2015–2016,Age groups,65+ years,16.200,(9.5–23.0),,
Placer,2015–2016,Age groups,65+ years,14.100,(6.3–21.8),,
Plumas,2015–2016,Age groups,65+ years,22.200,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2015–2016,Age groups,65+ years,8.600,(4.1–13.2),,
Sacramento,2015–2016,Age groups,65+ years,15.200,(6.3–24.1),,
San Benito,2015–2016,Age groups,65+ years,,,,Prevalence not available due to small numbers of survey responses
San Bernardino,2015–2016,Age groups,65+ years,14.300,(5.5–23.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2015–2016,Age groups,65+ years,12.600,(8.7–16.5),,
San Francisco,2015–2016,Age groups,65+ years,11.900,(0.8–23.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Joaquin,2015–2016,Age groups,65+ years,17.800,(6.1–29.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2015–2016,Age groups,65+ years,17.300,(3.4–31.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2015–2016,Age groups,65+ years,19.300,(6.5–32.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2015–2016,Age groups,65+ years,11.500,(5.7–17.4),,
Santa Clara,2015–2016,Age groups,65+ years,11.200,(5.3–17.0),,
Santa Cruz,2015–2016,Age groups,65+ years,30.800,(15.6–46.0),,
Shasta,2015–2016,Age groups,65+ years,12.600,(2.4–22.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sierra,2015–2016,Age groups,65+ years,22.200,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2015–2016,Age groups,65+ years,22.200,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2015–2016,Age groups,65+ years,20.600,(4.4–36.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sonoma,2015–2016,Age groups,65+ years,9.900,(2.8–16.9),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2015–2016,Age groups,65+ years,25.500,(11.1–39.9),,
Sutter,2015–2016,Age groups,65+ years,16.500,(4.8–28.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2015–2016,Age groups,65+ years,15.000,(1.2–28.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Trinity,2015–2016,Age groups,65+ years,22.200,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2015–2016,Age groups,65+ years,17.300,(7.3-27.3),,
Tuolumne,2015–2016,Age groups,65+ years,19.700,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2015–2016,Age groups,65+ years,13.000,(6.5–19.5),,
Yolo,2015–2016,Age groups,65+ years,10.200,(0.9–19.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2015–2016,Age groups,65+ years,22.600,(2.6–42.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
California,2017–2018,Total population,All ages,15.400,(14.7–16.1),,
Alameda,2017–2018,Total population,All ages,13.800,(9.7–17.9),,
Alpine,2017–2018,Total population,All ages,18.600,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2017–2018,Total population,All ages,18.600,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2017–2018,Total population,All ages,15.500,(6.2–24.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Calaveras,2017–2018,Total population,All ages,18.600,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2017–2018,Total population,All ages,14.900,(7.6–22.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2017–2018,Total population,All ages,17.500,(12.8–22.1),,
Del Norte,2017–2018,Total population,All ages,19.100,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2017–2018,Total population,All ages,13.300,(5.2–21.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2017–2018,Total population,All ages,19.800,(13.7–25.8),,
Glenn,2017–2018,Total population,All ages,14.900,(7.6–22.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2017–2018,Total population,All ages,17.300,(9.5–25.2),,
Imperial,2017–2018,Total population,All ages,14.700,(5.7–23.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2017–2018,Total population,All ages,18.600,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2017–2018,Total population,All ages,16.000,(8.9–23.1),,
Kings,2017–2018,Total population,All ages,18.400,(11.3–25.5),,
Lake,2017–2018,Total population,All ages,15.200,(7.4–23.1),,
Lassen,2017–2018,Total population,All ages,19.100,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2017–2018,Total population,All ages,14.600,(13.0–16.2),,
Madera,2017–2018,Total population,All ages,15.500,(6.6–24.4),,
Marin,2017–2018,Total population,All ages,14.100,(5.5–22.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mariposa,2017–2018,Total population,All ages,18.600,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2017–2018,Total population,All ages,13.500,(6.1–21.0),,
Merced,2017–2018,Total population,All ages,13.900,(6.0–21.8),,
Modoc,2017–2018,Total population,All ages,19.100,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2017–2018,Total population,All ages,18.600,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2017–2018,Total population,All ages,13.700,(7.1–20.3),,
Napa,2017–2018,Total population,All ages,20.600,(8.1–33.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2017–2018,Total population,All ages,15.500,(6.9–24.1),,
Orange,2017–2018,Total population,All ages,11.900,(9.0–14.8),,
Placer,2017–2018,Total population,All ages,16.000,(9.1–22.8),,
Plumas,2017–2018,Total population,All ages,19.100,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2017–2018,Total population,All ages,15.700,(9.6–21.7),,
Sacramento,2017–2018,Total population,All ages,20.200,(15.2–25.1),,
San Benito,2017–2018,Total population,All ages,15.000,(0.1–29.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2017–2018,Total population,All ages,15.400,(11.9–19.0),,
San Diego,2017–2018,Total population,All ages,14.600,(12.2–16.9),,
San Francisco,2017–2018,Total population,All ages,12.700,(8.0–17.5),,
San Joaquin,2017–2018,Total population,All ages,22.800,(15.4–30.3),,
San Luis Obispo,2017–2018,Total population,All ages,13.000,(7.2–18.8),,
San Mateo,2017–2018,Total population,All ages,16.500,(10.8–22.2),,
Santa Barbara,2017–2018,Total population,All ages,15.200,(3.7–26.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2017–2018,Total population,All ages,14.800,(11.5–18.1),,
Santa Cruz,2017–2018,Total population,All ages,16.000,(8.9–23.2),,
Shasta,2017–2018,Total population,All ages,12.600,(6.5–18.7),,
Sierra,2017–2018,Total population,All ages,19.100,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2017–2018,Total population,All ages,19.100,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2017–2018,Total population,All ages,22.600,(11.0–34.1),,
Sonoma,2017–2018,Total population,All ages,18.000,(8.9–27.1),,
Stanislaus,2017–2018,Total population,All ages,17.100,(9.1–25.1),,
Sutter,2017–2018,Total population,All ages,25.300,(14.6–36.0),,
Tehama,2017–2018,Total population,All ages,14.900,(7.6–22.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2017–2018,Total population,All ages,19.100,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2017–2018,Total population,All ages,20.100,(8.7–31.5),,
Tuolumne,2017–2018,Total population,All ages,18.600,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2017–2018,Total population,All ages,11.900,(7.8–16.1),,
Yolo,2017–2018,Total population,All ages,19.400,(9.5–29.3),,
Yuba,2017–2018,Total population,All ages,18.200,(10.5–25.8),,
California,2017–2018,Child vs. adult,0–17 years,13.700,(11.7–15.8),,
Alameda,2017–2018,Child vs. adult,0–17 years,15.600,(5.8–25.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Amador,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Butte,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Calaveras,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Colusa,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Contra Costa,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Del Norte,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Fresno,2017–2018,Child vs. adult,0–17 years,18.000,(3.3–32.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Humboldt,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Imperial,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Inyo,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Kern,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Kings,2017–2018,Child vs. adult,0–17 years,27.300,(4.6–50.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Lassen,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Los Angeles,2017–2018,Child vs. adult,0–17 years,14.800,(10.2–19.3),,
Madera,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Marin,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Mariposa,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mendocino,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Merced,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Modoc,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mono,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Monterey,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Napa,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Nevada,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Orange,2017–2018,Child vs. adult,0–17 years,10.400,(2.2–18.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Placer,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Plumas,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Riverside,2017–2018,Child vs. adult,0–17 years,16.100,(7.6–24.5),,
Sacramento,2017–2018,Child vs. adult,0–17 years,14.200,(2.9–25.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Bernardino,2017–2018,Child vs. adult,0–17 years,13.900,(2.3–25.4),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2017–2018,Child vs. adult,0–17 years,10.700,(5.0–16.4),,
San Francisco,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Joaquin,2017–2018,Child vs. adult,0–17 years,28.700,(2.8–54.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
San Mateo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Santa Barbara,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Santa Clara,2017–2018,Child vs. adult,0–17 years,13.500,(3.6–23.4),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Shasta,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sierra,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Siskiyou,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Solano,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sonoma,2017–2018,Child vs. adult,0–17 years,14.700,(0.6–28.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Sutter,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Tehama,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Trinity,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Tulare,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Tuolumne,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Ventura,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Yolo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Yuba,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
California,2017–2018,Child vs. adult,18+ years,15.900,(15.2–16.6),,
Alameda,2017–2018,Child vs. adult,18+ years,13.300,(9.4–17.2),,
Alpine,2017–2018,Child vs. adult,18+ years,24.100,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2017–2018,Child vs. adult,18+ years,24.100,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2017–2018,Child vs. adult,18+ years,18.700,(11.3–26.0),,
Calaveras,2017–2018,Child vs. adult,18+ years,24.100,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2017–2018,Child vs. adult,18+ years,18.900,(10.0–27.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2017–2018,Child vs. adult,18+ years,19.700,(14.9–24.6),,
Del Norte,2017–2018,Child vs. adult,18+ years,19.300,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2017–2018,Child vs. adult,18+ years,17.900,(6.6–29.2),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2017–2018,Child vs. adult,18+ years,20.500,(14.7–26.2),,
Glenn,2017–2018,Child vs. adult,18+ years,18.900,(10.0–27.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2017–2018,Child vs. adult,18+ years,17.000,(10.6–23.4),,
Imperial,2017–2018,Child vs. adult,18+ years,17.700,(9.2–26.1),,
Inyo,2017–2018,Child vs. adult,18+ years,24.100,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2017–2018,Child vs. adult,18+ years,16.300,(10.3–22.4),,
Kings,2017–2018,Child vs. adult,18+ years,15.200,(10.3–20.0),,
Lake,2017–2018,Child vs. adult,18+ years,15.900,(8.0–23.8),,
Lassen,2017–2018,Child vs. adult,18+ years,19.300,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2017–2018,Child vs. adult,18+ years,14.500,(13.2–15.9),,
Madera,2017–2018,Child vs. adult,18+ years,18.900,(11.6–26.2),,
Marin,2017–2018,Child vs. adult,18+ years,15.100,(8.9–21.2),,
Mariposa,2017–2018,Child vs. adult,18+ years,24.100,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2017–2018,Child vs. adult,18+ years,16.100,(7.4–24.7),,
Merced,2017–2018,Child vs. adult,18+ years,17.600,(10.0–25.1),,
Modoc,2017–2018,Child vs. adult,18+ years,19.300,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2017–2018,Child vs. adult,18+ years,24.100,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2017–2018,Child vs. adult,18+ years,15.300,(8.4–22.2),,
Napa,2017–2018,Child vs. adult,18+ years,24.800,(11.1–38.4),,
Nevada,2017–2018,Child vs. adult,18+ years,18.000,(7.9–28.1),,
Orange,2017–2018,Child vs. adult,18+ years,12.300,(9.2–15.5),,
Placer,2017–2018,Child vs. adult,18+ years,15.500,(7.6–23.4),,
Plumas,2017–2018,Child vs. adult,18+ years,19.300,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2017–2018,Child vs. adult,18+ years,15.500,(8.8–22.2),,
Sacramento,2017–2018,Child vs. adult,18+ years,22.000,(17.4–26.7),,
San Benito,2017–2018,Child vs. adult,18+ years,20.700,(0.5–41.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2017–2018,Child vs. adult,18+ years,16.000,(12.4–19.6),,
San Diego,2017–2018,Child vs. adult,18+ years,15.800,(13.2–18.5),,
San Francisco,2017–2018,Child vs. adult,18+ years,13.700,(8.1–19.2),,
San Joaquin,2017–2018,Child vs. adult,18+ years,21.400,(13.1–29.7),,
San Luis Obispo,2017–2018,Child vs. adult,18+ years,15.400,(8.9–21.8),,
San Mateo,2017–2018,Child vs. adult,18+ years,16.000,(9.9–22.2),,
Santa Barbara,2017–2018,Child vs. adult,18+ years,16.500,(3.8–29.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2017–2018,Child vs. adult,18+ years,15.200,(11.6–18.8),,
Santa Cruz,2017–2018,Child vs. adult,18+ years,17.500,(10.5–24.4),,
Shasta,2017–2018,Child vs. adult,18+ years,13.100,(5.8–20.4),,
Sierra,2017–2018,Child vs. adult,18+ years,19.300,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2017–2018,Child vs. adult,18+ years,19.300,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2017–2018,Child vs. adult,18+ years,22.700,(12.0–33.3),,
Sonoma,2017–2018,Child vs. adult,18+ years,18.800,(8.6–28.9),,
Stanislaus,2017–2018,Child vs. adult,18+ years,17.700,(9.3–26.1),,
Sutter,2017–2018,Child vs. adult,18+ years,30.700,(19.3–42.1),,
Tehama,2017–2018,Child vs. adult,18+ years,18.900,(10.0–27.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2017–2018,Child vs. adult,18+ years,19.300,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2017–2018,Child vs. adult,18+ years,15.900,(9.5–22.4),,
Tuolumne,2017–2018,Child vs. adult,18+ years,24.100,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2017–2018,Child vs. adult,18+ years,12.700,(7.9–17.4),,
Yolo,2017–2018,Child vs. adult,18+ years,22.100,(10.9–33.4),,
Yuba,2017–2018,Child vs. adult,18+ years,20.900,(12.6–29.1),,
California,2017–2018,Age groups,0–4 years,4.800,(2.7–6.8),,
Alameda,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Alpine,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Amador,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Butte,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Calaveras,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Colusa,2017–2018,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Contra Costa,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Del Norte,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Fresno,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Glenn,2017–2018,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Humboldt,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Imperial,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Inyo,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Kern,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Kings,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Lake,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Lassen,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Los Angeles,2017–2018,Age groups,0–4 years,6.500,(1.2–11.7),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Madera,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Marin,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
Mariposa,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mendocino,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to small numbers of survey responses
